,node,emission,type_tec,year,lvl,mrg
0,World,CO2,all,2020,509.9301,0.0
1,World,CO2,all,2030,587.5232,0.0
2,World,CO2,all,2040,624.7932,0.0
3,World,CO2,all,2050,660.2759,0.0
4,World,CO2,all,2060,722.6241,0.0
5,World,CO2,all,2070,847.061,0.0
6,World,CH4,all,2020,13.329476,0.0
7,World,CH4,all,2030,14.203385,0.0
8,World,CH4,all,2040,14.377551,0.0
9,World,CH4,all,2050,14.909723,0.0
10,World,CH4,all,2060,16.118277,0.0
11,World,CH4,all,2070,19.267038,0.0
12,South Africa,CO2,all,2020,509.9301,0.0
13,South Africa,CO2,all,2030,587.5232,0.0
14,South Africa,CO2,all,2040,624.7932,0.0
15,South Africa,CO2,all,2050,660.2759,0.0
16,South Africa,CO2,all,2060,722.6241,0.0
17,South Africa,CO2,all,2070,847.061,0.0
18,South Africa,CH4,all,2020,13.329476,0.0
19,South Africa,CH4,all,2030,14.203385,0.0
20,South Africa,CH4,all,2040,14.377551,0.0
21,South Africa,CH4,all,2050,14.909723,0.0
22,South Africa,CH4,all,2060,16.118277,0.0
23,South Africa,CH4,all,2070,19.267038,0.0
